LOCATION;SUBJECT;MEASURE;TIME;Value
AUS;MAIZE;TONNE_HA;2010;5.56
AUS;MAIZE;TONNE_HA;2011;5.76
AUS;MAIZE;TONNE_HA;2012;6.44
AUS;MAIZE;TONNE_HA;2013;6.49
AUS;MAIZE;TONNE_HA;2014;7.5
AUS;MAIZE;TONNE_HA;2015;8.25
AUS;MAIZE;TONNE_HA;2016;6.55
AUS;MAIZE;TONNE_HA;2017;6.83
AUS;MAIZE;TONNE_HA;2018;6.86
AUS;MAIZE;TONNE_HA;2019;6.89
AUS;MAIZE;TONNE_HA;2020;6.91
AUS;MAIZE;TONNE_HA;2021;6.94
AUS;MAIZE;TONNE_HA;2022;6.97
AUS;MAIZE;TONNE_HA;2023;7
AUS;MAIZE;TONNE_HA;2024;7.03
AUS;MAIZE;TONNE_HA;2025;7.05
AUS;MAIZE;TONNE_HA;2026;7.08
AUS;RICE;TONNE_HA;1990;5.37
AUS;RICE;TONNE_HA;1991;5.9
AUS;RICE;TONNE_HA;1992;5.9
AUS;RICE;TONNE_HA;1993;5.22
AUS;RICE;TONNE_HA;1994;5.46
AUS;RICE;TONNE_HA;1995;5.92
AUS;RICE;TONNE_HA;1996;4.26
AUS;RICE;TONNE_HA;1997;5.55
AUS;RICE;TONNE_HA;1998;6.27
AUS;RICE;TONNE_HA;1999;5.92
AUS;RICE;TONNE_HA;2000;5.51
AUS;RICE;TONNE_HA;2001;6.19
AUS;RICE;TONNE_HA;2002;5.52
AUS;RICE;TONNE_HA;2003;6.38
AUS;RICE;TONNE_HA;2004;5.56
AUS;RICE;TONNE_HA;2005;4.41
AUS;RICE;TONNE_HA;2006;6.56
AUS;RICE;TONNE_HA;2007;5.44
AUS;RICE;TONNE_HA;2008;5.56
AUS;RICE;TONNE_HA;2009;5.64
AUS;RICE;TONNE_HA;2010;6.94
AUS;RICE;TONNE_HA;2011;6.35
AUS;RICE;TONNE_HA;2012;5.94
AUS;RICE;TONNE_HA;2013;6.85
AUS;RICE;TONNE_HA;2014;7.28
AUS;RICE;TONNE_HA;2015;6.61
AUS;RICE;TONNE_HA;2016;7.27
AUS;RICE;TONNE_HA;2017;6.79
AUS;RICE;TONNE_HA;2018;6.86
AUS;RICE;TONNE_HA;2019;6.93
AUS;RICE;TONNE_HA;2020;7
AUS;RICE;TONNE_HA;2021;7.07
AUS;RICE;TONNE_HA;2022;7.14
AUS;RICE;TONNE_HA;2023;7.21
AUS;RICE;TONNE_HA;2024;7.27
AUS;RICE;TONNE_HA;2025;7.34
AUS;RICE;TONNE_HA;2026;7.41
AUS;SOYBEAN;TONNE_HA;1990;1.56
AUS;SOYBEAN;TONNE_HA;1991;2.11
AUS;SOYBEAN;TONNE_HA;1992;1.62
AUS;SOYBEAN;TONNE_HA;1993;2
AUS;SOYBEAN;TONNE_HA;1994;1.53
AUS;SOYBEAN;TONNE_HA;1995;1.87
AUS;SOYBEAN;TONNE_HA;1996;1.92
AUS;SOYBEAN;TONNE_HA;1997;1.7
AUS;SOYBEAN;TONNE_HA;1998;1.95
AUS;SOYBEAN;TONNE_HA;1999;1.86
AUS;SOYBEAN;TONNE_HA;2000;1.46
AUS;SOYBEAN;TONNE_HA;2001;1.95
AUS;SOYBEAN;TONNE_HA;2002;1.48
AUS;SOYBEAN;TONNE_HA;2003;2.21
AUS;SOYBEAN;TONNE_HA;2004;1.68
AUS;SOYBEAN;TONNE_HA;2005;2.1
AUS;SOYBEAN;TONNE_HA;2006;2.01
AUS;SOYBEAN;TONNE_HA;2007;2.34
AUS;SOYBEAN;TONNE_HA;2008;1.89
AUS;SOYBEAN;TONNE_HA;2009;1.9
AUS;SOYBEAN;TONNE_HA;2010;1.71
AUS;SOYBEAN;TONNE_HA;2011;1.57
AUS;SOYBEAN;TONNE_HA;2012;1.46
AUS;SOYBEAN;TONNE_HA;2013;1.27
AUS;SOYBEAN;TONNE_HA;2014;1.85
AUS;SOYBEAN;TONNE_HA;2015;1.93
AUS;SOYBEAN;TONNE_HA;2016;1.97
AUS;SOYBEAN;TONNE_HA;2017;1.99
AUS;SOYBEAN;TONNE_HA;2018;2.01
AUS;SOYBEAN;TONNE_HA;2019;2.03
AUS;SOYBEAN;TONNE_HA;2020;2.05
AUS;SOYBEAN;TONNE_HA;2021;2.07
AUS;SOYBEAN;TONNE_HA;2022;2.09
AUS;SOYBEAN;TONNE_HA;2023;2.11
AUS;SOYBEAN;TONNE_HA;2024;2.13
AUS;SOYBEAN;TONNE_HA;2025;2.15
AUS;SOYBEAN;TONNE_HA;2026;2.17
AUS;WHEAT;TONNE_HA;1990;1.63
AUS;WHEAT;TONNE_HA;1991;1.47
AUS;WHEAT;TONNE_HA;1992;1.78
AUS;WHEAT;TONNE_HA;1993;1.97
AUS;WHEAT;TONNE_HA;1994;1.14
AUS;WHEAT;TONNE_HA;1995;1.8
AUS;WHEAT;TONNE_HA;1996;2.1
AUS;WHEAT;TONNE_HA;1997;1.84
AUS;WHEAT;TONNE_HA;1998;1.85
AUS;WHEAT;TONNE_HA;1999;2.03
AUS;WHEAT;TONNE_HA;2000;1.78
AUS;WHEAT;TONNE_HA;2001;2.1
AUS;WHEAT;TONNE_HA;2002;0.92
AUS;WHEAT;TONNE_HA;2003;2.11
AUS;WHEAT;TONNE_HA;2004;1.63
AUS;WHEAT;TONNE_HA;2005;2.02
AUS;WHEAT;TONNE_HA;2006;0.92
AUS;WHEAT;TONNE_HA;2007;1.08
AUS;WHEAT;TONNE_HA;2008;1.58
AUS;WHEAT;TONNE_HA;2009;1.57
AUS;WHEAT;TONNE_HA;2010;2.03
AUS;WHEAT;TONNE_HA;2011;2.15
AUS;WHEAT;TONNE_HA;2012;1.76
AUS;WHEAT;TONNE_HA;2013;2.01
AUS;WHEAT;TONNE_HA;2014;1.92
AUS;WHEAT;TONNE_HA;2015;1.89
AUS;WHEAT;TONNE_HA;2016;2.72
AUS;WHEAT;TONNE_HA;2017;2.19
AUS;WHEAT;TONNE_HA;2018;2.21
AUS;WHEAT;TONNE_HA;2019;2.21
AUS;WHEAT;TONNE_HA;2020;2.23
AUS;WHEAT;TONNE_HA;2021;2.24
AUS;WHEAT;TONNE_HA;2022;2.25
AUS;WHEAT;TONNE_HA;2023;2.26
AUS;WHEAT;TONNE_HA;2024;2.27
AUS;WHEAT;TONNE_HA;2025;2.28
AUS;WHEAT;TONNE_HA;2026;2.29
BGD;MAIZE;TONNE_HA;1990;1
BGD;MAIZE;TONNE_HA;1991;1
BGD;MAIZE;TONNE_HA;1992;1
BGD;MAIZE;TONNE_HA;1993;1
BGD;MAIZE;TONNE_HA;1994;1
BGD;MAIZE;TONNE_HA;1995;0.67
BGD;MAIZE;TONNE_HA;1996;1.07
BGD;MAIZE;TONNE_HA;1997;1.5
BGD;MAIZE;TONNE_HA;1998;0.75
BGD;MAIZE;TONNE_HA;1999;1.23
BGD;MAIZE;TONNE_HA;2000;2.06
BGD;MAIZE;TONNE_HA;2001;3.22
BGD;MAIZE;TONNE_HA;2002;4.03
BGD;MAIZE;TONNE_HA;2003;4.03
BGD;MAIZE;TONNE_HA;2004;4.82
BGD;MAIZE;TONNE_HA;2005;7.8
BGD;MAIZE;TONNE_HA;2006;0.92
BGD;MAIZE;TONNE_HA;2007;8.93
BGD;MAIZE;TONNE_HA;2008;3.26
BGD;MAIZE;TONNE_HA;2009;6.93
BGD;MAIZE;TONNE_HA;2010;7.89
BGD;MAIZE;TONNE_HA;2011;6.9
BGD;MAIZE;TONNE_HA;2012;6.87
BGD;MAIZE;TONNE_HA;2013;6.91
BGD;MAIZE;TONNE_HA;2014;6.89
BGD;MAIZE;TONNE_HA;2015;7.29
BGD;MAIZE;TONNE_HA;2016;7.43
BGD;MAIZE;TONNE_HA;2017;7.5
BGD;MAIZE;TONNE_HA;2018;7.57
BGD;MAIZE;TONNE_HA;2019;7.65
BGD;MAIZE;TONNE_HA;2020;7.72
BGD;MAIZE;TONNE_HA;2021;7.81
BGD;MAIZE;TONNE_HA;2022;7.88
BGD;MAIZE;TONNE_HA;2023;7.96
BGD;MAIZE;TONNE_HA;2024;8.04
BGD;MAIZE;TONNE_HA;2025;8.12
BGD;MAIZE;TONNE_HA;2026;8.2
BGD;RICE;TONNE_HA;1990;1.71
BGD;RICE;TONNE_HA;1991;1.78
BGD;RICE;TONNE_HA;1992;1.8
BGD;RICE;TONNE_HA;1993;1.84
BGD;RICE;TONNE_HA;1994;1.7
BGD;RICE;TONNE_HA;1995;1.78
BGD;RICE;TONNE_HA;1996;1.86
BGD;RICE;TONNE_HA;1997;1.84
BGD;RICE;TONNE_HA;1998;1.97
BGD;RICE;TONNE_HA;1999;2.15
BGD;RICE;TONNE_HA;2000;2.26
BGD;RICE;TONNE_HA;2001;2.3
BGD;RICE;TONNE_HA;2002;2.31
BGD;RICE;TONNE_HA;2003;2.38
BGD;RICE;TONNE_HA;2004;2.36
BGD;RICE;TONNE_HA;2005;2.51
BGD;RICE;TONNE_HA;2006;2.53
BGD;RICE;TONNE_HA;2007;2.56
BGD;RICE;TONNE_HA;2008;2.8
BGD;RICE;TONNE_HA;2009;2.79
BGD;RICE;TONNE_HA;2010;2.88
BGD;RICE;TONNE_HA;2011;2.94
BGD;RICE;TONNE_HA;2012;2.95
BGD;RICE;TONNE_HA;2013;3.01
BGD;RICE;TONNE_HA;2014;3.04
BGD;RICE;TONNE_HA;2015;3.05
BGD;RICE;TONNE_HA;2016;3.06
BGD;RICE;TONNE_HA;2017;3.12
BGD;RICE;TONNE_HA;2018;3.17
BGD;RICE;TONNE_HA;2019;3.22
BGD;RICE;TONNE_HA;2020;3.28
BGD;RICE;TONNE_HA;2021;3.33
BGD;RICE;TONNE_HA;2022;3.38
BGD;RICE;TONNE_HA;2023;3.42
BGD;RICE;TONNE_HA;2024;3.47
BGD;RICE;TONNE_HA;2025;3.52
BGD;RICE;TONNE_HA;2026;3.57
BGD;SOYBEAN;TONNE_HA;1990;1
BGD;SOYBEAN;TONNE_HA;1991;1
BGD;SOYBEAN;TONNE_HA;1992;1
BGD;SOYBEAN;TONNE_HA;1993;1
BGD;SOYBEAN;TONNE_HA;1994;1
BGD;SOYBEAN;TONNE_HA;1995;1
BGD;SOYBEAN;TONNE_HA;1996;1
BGD;SOYBEAN;TONNE_HA;1997;1
BGD;SOYBEAN;TONNE_HA;1998;1
BGD;SOYBEAN;TONNE_HA;1999;1
BGD;SOYBEAN;TONNE_HA;2000;1
BGD;SOYBEAN;TONNE_HA;2001;1
BGD;SOYBEAN;TONNE_HA;2002;1
BGD;SOYBEAN;TONNE_HA;2003;1
BGD;SOYBEAN;TONNE_HA;2004;1
BGD;SOYBEAN;TONNE_HA;2005;1
BGD;SOYBEAN;TONNE_HA;2006;1
BGD;SOYBEAN;TONNE_HA;2007;1
BGD;SOYBEAN;TONNE_HA;2008;1
BGD;SOYBEAN;TONNE_HA;2009;1
BGD;SOYBEAN;TONNE_HA;2010;1
BGD;SOYBEAN;TONNE_HA;2011;1
BGD;SOYBEAN;TONNE_HA;2012;1
BGD;SOYBEAN;TONNE_HA;2013;1
BGD;SOYBEAN;TONNE_HA;2014;1
BGD;SOYBEAN;TONNE_HA;2015;1
BGD;SOYBEAN;TONNE_HA;2016;1
BGD;SOYBEAN;TONNE_HA;2017;1
BGD;SOYBEAN;TONNE_HA;2018;1
BGD;SOYBEAN;TONNE_HA;2019;1
BGD;SOYBEAN;TONNE_HA;2020;1
BGD;SOYBEAN;TONNE_HA;2021;1
BGD;SOYBEAN;TONNE_HA;2022;1
BGD;SOYBEAN;TONNE_HA;2023;1
BGD;SOYBEAN;TONNE_HA;2024;1
BGD;SOYBEAN;TONNE_HA;2025;1
BGD;SOYBEAN;TONNE_HA;2026;1
BGD;WHEAT;TONNE_HA;1990;1.5
BGD;WHEAT;TONNE_HA;1991;1.68
BGD;WHEAT;TONNE_HA;1992;1.85
BGD;WHEAT;TONNE_HA;1993;1.85
BGD;WHEAT;TONNE_HA;1994;1.84
BGD;WHEAT;TONNE_HA;1995;1.95
BGD;WHEAT;TONNE_HA;1996;1.95
BGD;WHEAT;TONNE_HA;1997;2.05
BGD;WHEAT;TONNE_HA;1998;2.24
BGD;WHEAT;TONNE_HA;1999;2.16
BGD;WHEAT;TONNE_HA;2000;2.21
BGD;WHEAT;TONNE_HA;2001;2.16
BGD;WHEAT;TONNE_HA;2002;2.16
BGD;WHEAT;TONNE_HA;2003;2.13
BGD;WHEAT;TONNE_HA;2004;1.95
BGD;WHEAT;TONNE_HA;2005;1.75
BGD;WHEAT;TONNE_HA;2006;1.53
BGD;WHEAT;TONNE_HA;2007;1.85
BGD;WHEAT;TONNE_HA;2008;2.18
BGD;WHEAT;TONNE_HA;2009;2.15
BGD;WHEAT;TONNE_HA;2010;2.4
BGD;WHEAT;TONNE_HA;2011;2.6
BGD;WHEAT;TONNE_HA;2012;2.78
BGD;WHEAT;TONNE_HA;2013;3.01
BGD;WHEAT;TONNE_HA;2014;2.8
BGD;WHEAT;TONNE_HA;2015;2.81
BGD;WHEAT;TONNE_HA;2016;2.82
BGD;WHEAT;TONNE_HA;2017;2.88
BGD;WHEAT;TONNE_HA;2018;2.93
BGD;WHEAT;TONNE_HA;2019;2.97
BGD;WHEAT;TONNE_HA;2020;3.02
BGD;WHEAT;TONNE_HA;2021;3.07
BGD;WHEAT;TONNE_HA;2022;3.12
BGD;WHEAT;TONNE_HA;2023;3.17
BGD;WHEAT;TONNE_HA;2024;3.22
BGD;WHEAT;TONNE_HA;2025;3.26
BGD;WHEAT;TONNE_HA;2026;3.31
BRA;MAIZE;TONNE_HA;1990;1.58
BRA;MAIZE;TONNE_HA;1991;1.69
BRA;MAIZE;TONNE_HA;1992;2.46
BRA;MAIZE;TONNE_HA;1993;2.19
BRA;MAIZE;TONNE_HA;1994;2.29
BRA;MAIZE;TONNE_HA;1995;2.63
BRA;MAIZE;TONNE_HA;1996;2.13
BRA;MAIZE;TONNE_HA;1997;2.9
BRA;MAIZE;TONNE_HA;1998;2.45
BRA;MAIZE;TONNE_HA;1999;2.56
BRA;MAIZE;TONNE_HA;2000;2.76
BRA;MAIZE;TONNE_HA;2001;3.4
BRA;MAIZE;TONNE_HA;2002;3.05
BRA;MAIZE;TONNE_HA;2003;3.73
BRA;MAIZE;TONNE_HA;2004;3.39
BRA;MAIZE;TONNE_HA;2005;3.04
BRA;MAIZE;TONNE_HA;2006;3.38
BRA;MAIZE;TONNE_HA;2007;3.75
BRA;MAIZE;TONNE_HA;2008;4.09
BRA;MAIZE;TONNE_HA;2009;3.71
BRA;MAIZE;TONNE_HA;2010;4.37
BRA;MAIZE;TONNE_HA;2011;4.25
BRA;MAIZE;TONNE_HA;2012;5.01
BRA;MAIZE;TONNE_HA;2013;5.26
BRA;MAIZE;TONNE_HA;2014;5.18
BRA;MAIZE;TONNE_HA;2015;5.54
BRA;MAIZE;TONNE_HA;2016;4.18
BRA;MAIZE;TONNE_HA;2017;5.32
BRA;MAIZE;TONNE_HA;2018;5.41
BRA;MAIZE;TONNE_HA;2019;5.52
BRA;MAIZE;TONNE_HA;2020;5.61
BRA;MAIZE;TONNE_HA;2021;5.72
BRA;MAIZE;TONNE_HA;2022;5.81
BRA;MAIZE;TONNE_HA;2023;5.9
BRA;MAIZE;TONNE_HA;2024;6
BRA;MAIZE;TONNE_HA;2025;6.1
BRA;MAIZE;TONNE_HA;2026;6.19
BRA;RICE;TONNE_HA;1990;1.28
BRA;RICE;TONNE_HA;1991;1.58
BRA;RICE;TONNE_HA;1992;1.47
BRA;RICE;TONNE_HA;1993;1.51
BRA;RICE;TONNE_HA;1994;1.61
BRA;RICE;TONNE_HA;1995;1.76
BRA;RICE;TONNE_HA;1996;1.74
BRA;RICE;TONNE_HA;1997;1.83
BRA;RICE;TONNE_HA;1998;1.75
BRA;RICE;TONNE_HA;1999;2.05
BRA;RICE;TONNE_HA;2000;2.11
BRA;RICE;TONNE_HA;2001;2.17
BRA;RICE;TONNE_HA;2002;2.24
BRA;RICE;TONNE_HA;2003;2.21
BRA;RICE;TONNE_HA;2004;2.41
BRA;RICE;TONNE_HA;2005;2.32
BRA;RICE;TONNE_HA;2006;2.64
BRA;RICE;TONNE_HA;2007;2.59
BRA;RICE;TONNE_HA;2008;2.86
BRA;RICE;TONNE_HA;2009;2.95
BRA;RICE;TONNE_HA;2010;2.87
BRA;RICE;TONNE_HA;2011;3.28
BRA;RICE;TONNE_HA;2012;3.25
BRA;RICE;TONNE_HA;2013;3.35
BRA;RICE;TONNE_HA;2014;3.47
BRA;RICE;TONNE_HA;2015;3.69
BRA;RICE;TONNE_HA;2016;3.59
BRA;RICE;TONNE_HA;2017;3.66
BRA;RICE;TONNE_HA;2018;3.7
BRA;RICE;TONNE_HA;2019;3.76
BRA;RICE;TONNE_HA;2020;3.8
BRA;RICE;TONNE_HA;2021;3.85
BRA;RICE;TONNE_HA;2022;3.9
BRA;RICE;TONNE_HA;2023;3.95
BRA;RICE;TONNE_HA;2024;4.01
BRA;RICE;TONNE_HA;2025;4.06
BRA;RICE;TONNE_HA;2026;4.11
BRA;SOYBEAN;TONNE_HA;1990;2.02
BRA;SOYBEAN;TONNE_HA;1991;2.44
BRA;SOYBEAN;TONNE_HA;1992;2.36
BRA;SOYBEAN;TONNE_HA;1993;2.25
BRA;SOYBEAN;TONNE_HA;1994;1.99
BRA;SOYBEAN;TONNE_HA;1995;2.25
BRA;SOYBEAN;TONNE_HA;1996;2.3
BRA;SOYBEAN;TONNE_HA;1997;2.35
BRA;SOYBEAN;TONNE_HA;1998;2.37
BRA;SOYBEAN;TONNE_HA;1999;2.4
BRA;SOYBEAN;TONNE_HA;2000;2.71
BRA;SOYBEAN;TONNE_HA;2001;2.57
BRA;SOYBEAN;TONNE_HA;2002;2.8
BRA;SOYBEAN;TONNE_HA;2003;2.3
BRA;SOYBEAN;TONNE_HA;2004;2.23
BRA;SOYBEAN;TONNE_HA;2005;2.38
BRA;SOYBEAN;TONNE_HA;2006;2.81
BRA;SOYBEAN;TONNE_HA;2007;2.82
BRA;SOYBEAN;TONNE_HA;2008;2.64
BRA;SOYBEAN;TONNE_HA;2009;2.95
BRA;SOYBEAN;TONNE_HA;2010;3.12
BRA;SOYBEAN;TONNE_HA;2011;2.64
BRA;SOYBEAN;TONNE_HA;2012;2.93
BRA;SOYBEAN;TONNE_HA;2013;2.87
BRA;SOYBEAN;TONNE_HA;2014;3.03
BRA;SOYBEAN;TONNE_HA;2015;2.87
BRA;SOYBEAN;TONNE_HA;2016;3.12
BRA;SOYBEAN;TONNE_HA;2017;3.03
BRA;SOYBEAN;TONNE_HA;2018;3.05
BRA;SOYBEAN;TONNE_HA;2019;3.09
BRA;SOYBEAN;TONNE_HA;2020;3.12
BRA;SOYBEAN;TONNE_HA;2021;3.16
BRA;SOYBEAN;TONNE_HA;2022;3.18
BRA;SOYBEAN;TONNE_HA;2023;3.22
BRA;SOYBEAN;TONNE_HA;2024;3.25
BRA;SOYBEAN;TONNE_HA;2025;3.28
BRA;SOYBEAN;TONNE_HA;2026;3.31
BRA;WHEAT;TONNE_HA;1990;1.15
BRA;WHEAT;TONNE_HA;1991;1.46
BRA;WHEAT;TONNE_HA;1992;1.43
BRA;WHEAT;TONNE_HA;1993;1.47
BRA;WHEAT;TONNE_HA;1994;1.55
BRA;WHEAT;TONNE_HA;1995;1.54
